Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
16191,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16191,"Princess Mononoke Lady Eboshi Production Cel (Studio Ghibli, 1997).",340,7,88,100,23h 25m 23s
16192,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16192,"Princess Mononoke Kodama Production Cel (Studio Ghibli, 1997).",2100,12,112,173,23h 25m 18s
16193,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16193,"Princess Mononoke Ashitaka Production Cel (Studio Ghibli, 1997).",75,5,48,43,23h 25m 12s
16194,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16194,"Princess Mononoke Moro's Son Production Cel (Studio Ghibli, 1997).",250,15,84,87,23h 25m 6s
16195,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16195,"Princess Mononoke San Production Cel (Studio Ghibli, 1997).",450,10,88,116,23h 25m
16196,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16196,"Princess Mononoke ""San and Her Brother Wolves"" Limited Edition Sericel #6/250 (Studio Ghibli, 1999).",525,9,142,265,23h 24m 54s
16197,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16197,"Princess Mononoke Ashitaka and Yakul Limited Edition Sericel #173/250 (Studio Ghibli, 1999).",130,7,93,138,23h 24m 48s
16198,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16198,"My Neighbor Totoro Catbus Production Cel (Studio Ghibli, 1988).",3600,28,188,360,23h 24m 42s
16199,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16199,"Osamu Tezuka - Flying Ben Story Page Original Art (Shonen Book/Kodansha, c. 1966-67).",105,6,43,135,23h 24m 35s
16200,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16200,"Gigantor Gigantor, Jimmy Sparks, Dr. Bob Brilliant, and Dick Strong Production Cel with Master Background, Group of 3 (TCJ, c. 1963-66).",1,1,15,76,23h 24m 30s
16201,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16201,"Gigantor Jimmy Sparks and Inspector Blooper Production Cel with Master Background, Group of 2 (TCJ, c. 1963-66).",0,0,9,52,23h 24m 23s
16202,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16202,"Speed Racer ""Knives of the Mach 5"" Limited Edition Cel AP#18/20 Signed by Corinne Orr and Peter Fernandez (Speed Racer Enterprises, 1994).",86,2,33,107,23h 24m 17s
16203,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16203,"Speed Racer ""The Car Destroyer"" Limited Edition Cel AP#20/25 (Speed Racer Enterprises, 1994).",1,1,33,103,23h 24m 11s
16204,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16204,"Speed Racer Racer X Painting by Jonathan Leaser (Speed Racer Enterprises, c. 2000's).",1,1,31,88,23h 24m 4s
16205,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16205,"Speed Racer ""The Desperate Racer"" Speed Racer and Thugs Production Cel with Custom Background (Tatsunoko Productions, c. 1966-68).",230,4,49,133,23h 23m 58s
16206,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16206,"Science Ninja Team Gatchaman Ken The Eagle Promotional Cel with Custom Painted Background (Tatsunoko Productions, c. 1972-74).",120,5,42,60,23h 23m 52s
16207,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16207,"Gatchaman ""The Final Countdown"" Production Cel Setup with Key Master Background and Animation Drawing Group of 5 (Tatsunoko Productions, c. 1994-95).",22,5,32,76,23h 23m 46s
16208,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16208,"Captain Future Joan Landor and Aliens Pan Production Cel with Production Background (Toei Animation, c. 1978-79).",1,1,12,34,23h 23m 40s
16209,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16209,"Astro Boy Production Cel and Animation Drawing (Tezuka Productions, c. 1980-81).",56,9,47,53,23h 23m 34s
16210,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16210,"Astro Boy: Tale of the Blue Knight Production Cel (Tezuka Productions, 1999).",1,1,29,32,23h 23m 27s
16211,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16211,"Doraemon Production Cel with Production Background (Shin-Ei Animation, c. 1979-2005).",3,2,28,38,23h 23m 21s
16212,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16212,"Doraemon Doraemon Production Cel with Production Background (Shin-Ei Animation, c. 1979-2005).",0,0,25,33,23h 23m 15s
16213,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16213,"Super Dimension Fortress Macross ""Burst Point"" Hikaru Ichijyo Production Cel (Tatsunoko Production, c. 1982-83).",105,11,31,61,23h 23m 9s
16214,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16214,"Super Dimension Fortress Macross Hikaru Ichijyo Illustration by Narumi Kakinochi (Tatsunoko Production, 1983).",52,2,17,61,23h 23m 3s
16215,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16215,"Macross 7 Episode 11 Lynn Minmay Production Cel and Animation Drawing (Ashi Productions, 1994).",82,5,42,106,23h 22m 57s
16216,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16216,"Mobile Suit Gundam Char Aznable Production Cel (Sunrise, c. 1979-80).",16,2,62,78,23h 22m 51s
16217,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16217,"Mobile Suit Zeta Gundam RMS-106 Hizack Production Cel Setup with Production Background and Animation Drawing (Sunrise, c. 1985-86).",3,2,22,37,23h 22m 44s
16218,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16218,Mobile Suit Zeta Gundam RX-178 Gundam Mk-II Publicity Hanken Cel (Sunrise c. 1985-86).,115,11,38,83,23h 22m 38s
16219,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16219,"All That Gundam Scale Model Series Publicity Hanken Cel (Sunrise/B-Club, c. 1989).",150,7,29,78,23h 22m 32s
16220,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16220,"Mobile Suit Gundam F91 RGM-89M Jegan B-Type, F91 Gundam F91, and XM-06 Daghi Iris Pan Production Cel with Production Background (Sunrise, 1991).",52,5,30,118,23h 22m 26s
16221,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16221,"Mobile Suit Gundam 0083: Stardust Memory RX-78GP02A ""Physalis"" and RX-78GP01 ""Zephyranthes"" Publicity Hanken Cel (Sunrise, c. 1991-1992).",155,9,26,72,23h 22m 20s
